Skawina,49.97218,19.79603
PSP 1,50.05995,19.94324
PSP 2,50.03352,19.93583
PSP 3,50.07560,19.88730
PSP 4,50.03758,20.00538
PSP 5,50.09174,19.91967
PSP 6,50.01594,20.01529
PSP 7,50.09412,19.97739
Aspir,50.07735,20.03269
LSP,50.07311,19.78584
